id,nombre,es_default,altura,peso,experiencia_base,tipos,habilidades,habilidades_ocultas,hp,ataque,defensa,ataque_especial,defensa_especial,velocidad,total_movimientos,movimientos,descripcion,es_legendario,es_mitico,tasa_captura,felicidad_base,habitat,generacion,cadena_evolucion_url,sprite_frente,sprite_shiny,fecha_extraccion
11,metapod,True,7,99,72,bug,shed-skin,,50,20,55,25,25,30,5,"string-shot, harden, iron-defense, bug-bite, electroweb",Su frágil cuerpo está recubierto de una coraza dura como el acero. Permanece quieto en su desarrollo.,False,False,120,70,forest,generation-i,https://pokeapi.co/api/v2/evolution-chain/4/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/11.png,2026-02-19T13:57:13.151809
12,butterfree,True,11,320,178,"bug, flying","compound-eyes, tinted-lens",tinted-lens,60,45,50,90,80,70,86,"razor-wind, gust, whirlwind, headbutt, tackle, take-down, double-edge, supersonic, psybeam, hyper-beam, mega-drain, solar-beam, poison-powder, stun-spore, sleep-powder, string-shot, toxic, confusion, psychic, rage, teleport, mimic, double-team, harden, reflect, bide, swift, dream-eater, flash, psywave, rest, substitute, thief, nightmare, snore, curse, protect, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, safeguard, baton-pass, sweet-scent, hidden-power, twister, rain-dance, sunny-day, psych-up, shadow-ball, facade, skill-swap, secret-power, air-cutter, silver-wind, signal-beam, aerial-ace, iron-defense, roost, natural-gift, tailwind, u-turn, air-slash, bug-buzz, energy-ball, giga-impact, defog, captivate, bug-bite, ominous-wind, venoshock, rage-powder, quiver-dance, round, acrobatics, struggle-bug, electroweb, hurricane, draining-kiss, confide, infestation, pollen-puff, dual-wingbeat",Adora el néctar de las flores. Puede localizar hasta las más pequeñas cantidades de polen.,False,False,45,70,forest,generation-i,https://pokeapi.co/api/v2/evolution-chain/4/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/12.png,2026-02-19T13:57:13.774502
13,weedle,True,3,32,39,"bug, poison","shield-dust, run-away",run-away,40,35,30,20,20,50,4,"poison-sting, string-shot, bug-bite, electroweb",Suele habitar bosques y praderas. Tiene un afilado y venenoso aguijón de unos 5 cm encima de la cabeza.,False,False,255,70,forest,generation-i,https://pokeapi.co/api/v2/evolution-chain/5/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/13.png,2026-02-19T13:57:14.531968
14,kakuna,True,6,100,72,"bug, poison",shed-skin,,45,25,50,25,25,35,5,"string-shot, harden, iron-defense, bug-bite, electroweb","Casi incapaz de moverse, este Pokémon solo puede endurecer su caparazón para protegerse.",False,False,120,70,forest,generation-i,https://pokeapi.co/api/v2/evolution-chain/5/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/14.png,2026-02-19T13:57:15.256759
15,beedrill,True,10,295,178,"bug, poison","swarm, sniper",sniper,65,90,40,45,80,75,82,"swords-dance, cut, headbutt, fury-attack, take-down, double-edge, poison-sting, twineedle, pin-missile, hyper-beam, peck, mega-drain, solar-beam, string-shot, toxic, agility, rage, mimic, double-team, harden, reflect, focus-energy, bide, swift, skull-bash, flash, rest, substitute, thief, snore, curse, protect, sludge-bomb, outrage, giga-drain, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, pursuit, sweet-scent, hidden-power, sunny-day, rock-smash, facade, brick-break, knock-off, endeavor, secret-power, air-cutter, silver-wind, aerial-ace, roost, natural-gift, tailwind, u-turn, payback, assurance, toxic-spikes, poison-jab, x-scissor, giga-impact, defog, captivate, bug-bite, ominous-wind, venoshock, round, acrobatics, struggle-bug, electroweb, drill-run, fell-stinger, confide, infestation, laser-focus, throat-chop, brutal-swing",Tiene 3 aguijones venenosos en sus patas y cola. Suelen pinchar a sus enemigos repetidas veces.,False,False,45,70,forest,generation-i,https://pokeapi.co/api/v2/evolution-chain/5/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/15.png,2026-02-19T13:57:16.160565
16,pidgey,True,3,18,50,"normal, flying","keen-eye, tangled-feet, big-pecks",big-pecks,40,45,40,35,35,56,64,"razor-wind, gust, wing-attack, whirlwind, fly, sand-attack, headbutt, tackle, take-down, double-edge, toxic, agility, quick-attack, rage, mimic, double-team, reflect, bide, mirror-move, swift, sky-attack, rest, substitute, thief, snore, curse, protect, feint-attack, mud-slap, foresight, detect, endure, swagger, steel-wing, attract, sleep-talk, return, frustration, pursuit, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, facade, secret-power, feather-dance, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, air-slash, brave-bird, defog, captivate, ominous-wind, round, work-up, hurricane, confide",Muy común en bosques y selvas. Aletea al nivel del suelo para levantar la gravilla.,False,False,255,70,forest,generation-i,https://pokeapi.co/api/v2/evolution-chain/6/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/16.png,2026-02-19T13:57:16.879931
17,pidgeotto,True,11,300,122,"normal, flying","keen-eye, tangled-feet, big-pecks",big-pecks,63,60,55,50,50,71,60,"razor-wind, gust, wing-attack, whirlwind, fly, sand-attack, headbutt, tackle, take-down, double-edge, toxic, agility, quick-attack, rage, mimic, double-team, reflect, bide, mirror-move, swift, sky-attack, rest, substitute, thief, snore, curse, protect, mud-slap, detect, endure, swagger, steel-wing, attract, sleep-talk, return, frustration, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, facade, secret-power, feather-dance, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, air-slash, defog, captivate, ominous-wind, round, work-up, hurricane, confide",Tiene unas garras desarrolladas. Puede atrapar un Exeggcute y transportarlo desde una distancia de casi 100 km.,False,False,120,70,forest,generation-i,https://pokeapi.co/api/v2/evolution-chain/6/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/17.png,2026-02-19T13:57:17.537549
18,pidgeot,True,15,395,216,"normal, flying","keen-eye, tangled-feet, big-pecks",big-pecks,83,80,75,70,70,101,63,"razor-wind, gust, wing-attack, whirlwind, fly, sand-attack, headbutt, tackle, take-down, double-edge, hyper-beam, toxic, agility, quick-attack, rage, mimic, double-team, reflect, bide, mirror-move, swift, sky-attack, rest, substitute, thief, snore, curse, protect, mud-slap, detect, endure, swagger, steel-wing, attract, sleep-talk, return, frustration, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, facade, secret-power, feather-dance, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, air-slash, giga-impact, defog, captivate, ominous-wind, round, work-up, hurricane, confide, laser-focus","Cuando caza, vuela muy deprisa a ras del agua y sorprende a inocentes presas como Magikarp.",False,False,45,70,forest,generation-i,https://pokeapi.co/api/v2/evolution-chain/6/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/18.png,2026-02-19T13:57:18.233449
19,rattata,True,3,35,51,normal,"run-away, guts, hustle",hustle,30,56,35,25,35,72,82,"cut, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, water-gun, ice-beam, blizzard, bubble-beam, counter, thunderbolt, thunder-wave, thunder, dig, toxic, quick-attack, rage, mimic, screech, double-team, defense-curl, focus-energy, bide, swift, skull-bash, fury-swipes, rest, hyper-fang, super-fang, substitute, thief, flame-wheel, snore, curse, reversal, protect, sludge-bomb, mud-slap, icy-wind, endure, swagger, attract, sleep-talk, return, frustration, pursuit, iron-tail, hidden-power, rain-dance, sunny-day, crunch, shadow-ball, rock-smash, uproar, facade, taunt, revenge, endeavor, secret-power, covet, shock-wave, natural-gift, pluck, u-turn, assurance, me-first, last-resort, sucker-punch, zen-headbutt, captivate, grass-knot, charge-beam, round, retaliate, final-gambit, work-up, wild-charge, confide, laser-focus","Vive allí donde haya comida disponible. Busca todo el día, sin descanso, algo comestible.",False,False,255,70,grassland,generation-i,https://pokeapi.co/api/v2/evolution-chain/7/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/19.png,2026-02-19T13:57:19.059872
20,raticate,True,7,185,145,normal,"run-away, guts, hustle",hustle,55,81,60,50,70,97,84,"swords-dance, cut, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, roar, water-gun, ice-beam, blizzard, bubble-beam, hyper-beam, counter, strength, thunderbolt, thunder-wave, thunder, dig, toxic, quick-attack, rage, mimic, double-team, defense-curl, focus-energy, bide, swift, skull-bash, fury-swipes, rest, hyper-fang, super-fang, substitute, thief, snore, curse, protect, scary-face, sludge-bomb, mud-slap, icy-wind, endure, swagger, attract, sleep-talk, return, frustration, pursuit, iron-tail, hidden-power, rain-dance, sunny-day, crunch, shadow-ball, rock-smash, uproar, facade, taunt, endeavor, secret-power, covet, shock-wave, natural-gift, pluck, u-turn, assurance, last-resort, sucker-punch, giga-impact, zen-headbutt, captivate, grass-knot, charge-beam, round, retaliate, work-up, wild-charge, confide, laser-focus, throat-chop, stomping-tantrum",Lima sus colmillos royendo objetos duros. Con ellos puede destruir incluso paredes de hormigón.,False,False,127,70,grassland,generation-i,https://pokeapi.co/api/v2/evolution-chain/7/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/20.png,2026-02-19T13:57:19.777699
21,spearow,True,3,20,52,"normal, flying","keen-eye, sniper",sniper,40,60,30,31,31,70,69,"razor-wind, wing-attack, whirlwind, fly, headbutt, fury-attack, take-down, double-edge, leer, growl, peck, drill-peck, toxic, agility, quick-attack, rage, mimic, double-team, focus-energy, bide, mirror-move, swift, sky-attack, rest, tri-attack, substitute, thief, snore, curse, protect, scary-face, feint-attack, mud-slap, detect, endure, false-swipe, swagger, steel-wing, attract, sleep-talk, return, frustration, pursuit, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, facade, secret-power, feather-dance, astonish, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, assurance, defog, captivate, ominous-wind, round, echoed-voice, work-up, drill-run, confide","Muy protector de su territorio, mueve sus cortas alas sin descanso para lanzarse a toda velocidad.",False,False,255,70,rough-terrain,generation-i,https://pokeapi.co/api/v2/evolution-chain/8/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/21.png,2026-02-19T13:57:20.600780
22,fearow,True,12,380,155,"normal, flying","keen-eye, sniper",sniper,65,90,65,61,61,100,69,"razor-wind, wing-attack, whirlwind, fly, headbutt, fury-attack, take-down, double-edge, leer, growl, hyper-beam, peck, drill-peck, toxic, agility, quick-attack, rage, mimic, double-team, focus-energy, bide, mirror-move, swift, sky-attack, rest, tri-attack, substitute, thief, snore, curse, protect, mud-slap, detect, endure, false-swipe, swagger, steel-wing, attract, sleep-talk, return, frustration, pursuit, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, facade, secret-power, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, assurance, giga-impact, defog, captivate, ominous-wind, round, echoed-voice, work-up, drill-run, confide, laser-focus, throat-chop","Con sus enormes y magníficas alas, puede seguir volando sin tener que aterrizar para descansar.",False,False,90,70,rough-terrain,generation-i,https://pokeapi.co/api/v2/evolution-chain/8/,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/22.png,2026-02-19T13:57:21.343803
